以上都是弟弟 看我翻车鲀~[滑稽]（并不是同类）, 朝仓净琳院幸穗, 女, ,主评论
翻车鲀不好吃，一般也吃不到。,环海拾错,男,一个到处跑喜欢逛海鲜市场的科普美食up主！感谢关注！

全网同名：环海拾错
,子评论
扒皮鲳, 喵了个大饼子, 保密, ,主评论
加一个,环海拾错,男,一个到处跑喜欢逛海鲜市场的科普美食up主！感谢关注！

全网同名：环海拾错
,子评论
我养鸳鸯炮弹的时候被这个王八蛋咬过[辣眼睛], 四六万砍单儿, 保密, ,主评论
哈哈哈哈哈,环海拾错,男,一个到处跑喜欢逛海鲜市场的科普美食up主！感谢关注！

全网同名：环海拾错
,子评论
所以鳞豚也是扒皮鱼的一种吗？, 打电话给你俩, 保密, ,主评论
也算，但鳞鲀属于鳞鲀科。,环海拾错,男,一个到处跑喜欢逛海鲜市场的科普美食up主！感谢关注！

全网同名：环海拾错
,子评论
刚在抖音刷到，现在到B站又刷到了, 陀螺怪丶, 保密, ,主评论
哈哈哈，下次先发b站[吃瓜],环海拾错,男,一个到处跑喜欢逛海鲜市场的科普美食up主！感谢关注！

全网同名：环海拾错
,子评论
来了[脱单doge], 墨客modou, 保密, 对，是我,主评论
丝背细鳞鲀：是我不配吗？我不好吃吗？[doge], 09zystar, 保密, ,主评论
[doge]不常见,环海拾错,男,一个到处跑喜欢逛海鲜市场的科普美食up主！感谢关注！

全网同名：环海拾错
,子评论
回复 @环海拾错 :广东这好多[笑哭],09zystar,保密,,子评论
翻车鲀好吃吗, antzjjj, 保密, ,主评论
很难吃到,环海拾错,男,一个到处跑喜欢逛海鲜市场的科普美食up主！感谢关注！

全网同名：环海拾错
,子评论
鸳鸯炮弹天天躺菜市场[热], 回切切, 男, 喜欢钓鱼音乐等等,主评论
哈哈哈海南市场就这样[doge],环海拾错,男,一个到处跑喜欢逛海鲜市场的科普美食up主！感谢关注！

全网同名：环海拾错
,子评论
[滑稽], 闻人白水, 保密, ,主评论
[吃瓜],环海拾错,男,一个到处跑喜欢逛海鲜市场的科普美食up主！感谢关注！

全网同名：环海拾错
,子评论
[doge][doge]打工人的生活, 环海拾错, 男, 一个到处跑喜欢逛海鲜市场的科普美食up主！感谢关注！

全网同名：环海拾错
,主评论
好羡慕学长的生活啊[星星眼], 义和团包师兄, 男, 每天进步一点点就好,主评论
[星星眼], odd字幕组, 保密, 坐吃等死，做字幕,主评论
[吃瓜],环海拾错,男,一个到处跑喜欢逛海鲜市场的科普美食up主！感谢关注！

全网同名：环海拾错
,子评论
耗儿鱼，我吃过的第一种海鲜😂, 春春春时, 男, 咕噜咕噜,主评论
[星星眼][星星眼]四川人无疑了。,环海拾错,男,一个到处跑喜欢逛海鲜市场的科普美食up主！感谢关注！

全网同名：环海拾错
,子评论
介绍自己怎么吃怎么好吃，我绷不住了, 不清楚问问, 保密, ,主评论
哈哈哈,环海拾错,男,一个到处跑喜欢逛海鲜市场的科普美食up主！感谢关注！

全网同名：环海拾错
,子评论
我看过香港的食客把扒皮鱼的皮炸得脆脆的做成椒盐鱼皮，看起来还挺好吃, GuanYF, 保密, ,主评论
[星星眼]还可以这样？,环海拾错,男,一个到处跑喜欢逛海鲜市场的科普美食up主！感谢关注！

全网同名：环海拾错
,子评论
向成为梗的杀鱼老板致敬, Lapislazuri_Jade, 男, 活在当下，不虑未来,主评论
竹仔鱼, 小淑子的迷哥, 保密, 这个人一点都不懒。,主评论
我们这叫橡皮鱼[吃瓜], 菜包二号, 男, 一只热腾腾菜包无需在意,主评论
[笑哭],环海拾错,男,一个到处跑喜欢逛海鲜市场的科普美食up主！感谢关注！

全网同名：环海拾错
,子评论
大家好，现在我们准备扒了up的皮, 衰仔的猪哥, 男, 油管smile show的米粉，爱运动、爱美食爱，喜欢装扮家中一点一滴，,主评论
[笑哭],环海拾错,男,一个到处跑喜欢逛海鲜市场的科普美食up主！感谢关注！

全网同名：环海拾错
,子评论
以上都是弟弟 看我翻车鲀~[滑稽]（并不是同类）, 朝仓净琳院幸穗, 女, ,主评论
翻车鲀不好吃，一般也吃不到。,环海拾错,男,一个到处跑喜欢逛海鲜市场的科普美食up主！感谢关注！

全网同名：环海拾错
,子评论
扒皮鲳, 喵了个大饼子, 保密, ,主评论
加一个,环海拾错,男,一个到处跑喜欢逛海鲜市场的科普美食up主！感谢关注！

全网同名：环海拾错
,子评论
我养鸳鸯炮弹的时候被这个王八蛋咬过[辣眼睛], 四六万砍单儿, 保密, ,主评论
哈哈哈哈哈,环海拾错,男,一个到处跑喜欢逛海鲜市场的科普美食up主！感谢关注！

全网同名：环海拾错
,子评论
所以鳞豚也是扒皮鱼的一种吗？, 打电话给你俩, 保密, ,主评论
也算，但鳞鲀属于鳞鲀科。,环海拾错,男,一个到处跑喜欢逛海鲜市场的科普美食up主！感谢关注！

全网同名：环海拾错
,子评论
刚在抖音刷到，现在到B站又刷到了, 陀螺怪丶, 保密, ,主评论
哈哈哈，下次先发b站[吃瓜],环海拾错,男,一个到处跑喜欢逛海鲜市场的科普美食up主！感谢关注！

全网同名：环海拾错
,子评论
